City: Gurugram | Pincode: 110094 | Latitude: 28.703749 | Longitude: 77.281407
City: Gurugram | Pincode: 122002 | Latitude: 28.474679 | Longitude: 77.104898
City: Gurugram | Pincode: 122003 | Latitude: 28.442126 | Longitude: 77.065202
City: Gurugram | Pincode: 122004 | Latitude: 28.405117 | Longitude: 76.975827
City: Gurugram | Pincode: 122005 | Latitude: 28.436225 | Longitude: 77.030539
City: Gurugram | Pincode: 122006 | Latitude: 28.481371 | Longitude: 76.993107
City: Gurugram | Pincode: 122007 | Latitude: 28.471851 | Longitude: 77.057885
City: Gurugram | Pincode: 122008 | Latitude: 28.492991 | Longitude: 77.072414
City: Gurugram | Pincode: 122009 | Latitude: 28.464164 | Longitude: 77.082348
City: Gurugram | Pincode: 122010 | Latitude: 28.485929 | Longitude: 77.10575
City: Gurugram | Pincode: 122011 | Latitude: 28.425875 | Longitude: 77.097619
City: Gurugram | Pincode: 122015 | Latitude: 28.496371 | Longitude: 77.059325
City: Gurugram | Pincode: 122016 | Latitude: 28.507934 | Longitude: 77.075154
City: Gurugram | Pincode: 122017 | Latitude: 28.507656 | Longitude: 77.02766
City: Gurugram | Pincode: 122018 | Latitude: 28.418081 | Longitude: 77.05069
City: Gurugram | Pincode: 122051 | Latitude: 28.348443 | Longitude: 76.923973
City: Gurugram | Pincode: 122052 | Latitude: 28.370279 | Longitude: 76.912447
City: Karnal | Pincode: 132001 | Latitude: 29.638684 | Longitude: 77.07947
City: Karnal | Pincode: 132022 | Latitude: 29.699023 | Longitude: 77.113998
City: Karnal | Pincode: 132023 | Latitude: 29.76505 | Longitude: 77.090981
City: Karnal | Pincode: 132024 | Latitude: 29.742976 | Longitude: 76.756737
City: Karnal | Pincode: 132036 | Latitude: 29.615757 | Longitude: 76.849033
City: Karnal | Pincode: 132037 | Latitude: 29.617035 | Longitude: 76.975827
City: Karnal | Pincode: 132039 | Latitude: 29.521732 | Longitude: 76.595056
City: Karnal | Pincode: 132040 | Latitude: 29.555352 | Longitude: 76.81443
City: Karnal | Pincode: 132041 | Latitude: 29.86629 | Longitude: 77.07947
City: Karnal | Pincode: 132046 | Latitude: 29.51071 | Longitude: 76.710563
City: Karnal | Pincode: 132054 | Latitude: 29.885617 | Longitude: 77.16002
City: Karnal | Pincode: 132114 | Latitude: 29.538441 | Longitude: 76.987348
City: Karnal | Pincode: 132116 | Latitude: 29.761551 | Longitude: 76.94126
City: Karnal | Pincode: 132117 | Latitude: 29.897988 | Longitude: 76.94126
City: Karnal | Pincode: 132157 | Latitude: 29.838594 | Longitude: 76.802893
City: Hisar | Pincode: 125001 | Latitude: 29.049537 | Longitude: 75.574247
City: Hisar | Pincode: 125004 | Latitude: 29.140622 | Longitude: 75.67899
City: Hisar | Pincode: 125005 | Latitude: 29.125413 | Longitude: 75.748778
City: Hisar | Pincode: 125006 | Latitude: 29.110152 | Longitude: 75.818531
City: Hisar | Pincode: 125007 | Latitude: 29.123542 | Longitude: 75.705165
City: Hisar | Pincode: 125011 | Latitude: 29.231644 | Longitude: 75.665902
City: Hisar | Pincode: 125033 | Latitude: 29.064375 | Longitude: 75.923098
City: Hisar | Pincode: 125037 | Latitude: 28.953118 | Longitude: 75.841775
City: Hisar | Pincode: 125038 | Latitude: 29.184922 | Longitude: 76.201557
City: Hisar | Pincode: 125039 | Latitude: 29.311851 | Longitude: 76.1088
City: Hisar | Pincode: 125042 | Latitude: 29.093728 | Longitude: 76.201557
City: Hisar | Pincode: 125044 | Latitude: 29.067084 | Longitude: 75.841775
City: Hisar | Pincode: 125047 | Latitude: 29.357984 | Longitude: 75.690624
City: Hisar | Pincode: 125048 | Latitude: 29.433554 | Longitude: 75.55096
City: Hisar | Pincode: 125049 | Latitude: 29.206011 | Longitude: 75.969547
City: Hisar | Pincode: 125050 | Latitude: 29.483552 | Longitude: 75.387852
City: Hisar | Pincode: 125051 | Latitude: 29.675386 | Longitude: 75.481079
City: Hisar | Pincode: 125052 | Latitude: 29.292102 | Longitude: 75.504376
City: Hisar | Pincode: 125053 | Latitude: 29.362241 | Longitude: 75.317895
City: Hisar | Pincode: 125054 | Latitude: 29.565924 | Longitude: 75.2129
City: Hisar | Pincode: 125055 | Latitude: 29.430551 | Longitude: 74.920877
City: Hisar | Pincode: 125056 | Latitude: 29.565924 | Longitude: 75.2129
City: Hisar | Pincode: 125058 | Latitude: 29.457818 | Longitude: 75.259573
City: Hisar | Pincode: 125060 | Latitude: 29.567971 | Longitude: 75.131187
City: Hisar | Pincode: 125075 | Latitude: 29.559088 | Longitude: 74.663464
City: Hisar | Pincode: 125076 | Latitude: 29.626256 | Longitude: 74.850713
City: Hisar | Pincode: 125077 | Latitude: 29.682369 | Longitude: 74.944259
City: Hisar | Pincode: 125078 | Latitude: 29.698519 | Longitude: 75.084476
City: Hisar | Pincode: 125101 | Latitude: 29.781173 | Longitude: 74.53461
City: Hisar | Pincode: 125102 | Latitude: 29.397864 | Longitude: 74.640043
City: Hisar | Pincode: 125103 | Latitude: 29.77087 | Longitude: 74.733707
City: Hisar | Pincode: 125104 | Latitude: 29.881058 | Longitude: 74.710296
City: Hisar | Pincode: 125106 | Latitude: 29.680974 | Longitude: 75.737149
City: Hisar | Pincode: 125110 | Latitude: 29.341201 | Longitude: 75.131187
City: Hisar | Pincode: 125111 | Latitude: 29.539722 | Longitude: 75.690624
City: Hisar | Pincode: 125112 | Latitude: 29.413556 | Longitude: 75.783659
City: Hisar | Pincode: 125113 | Latitude: 29.514507 | Longitude: 75.876633
City: Hisar | Pincode: 125120 | Latitude: 29.650763 | Longitude: 75.876633
City: Hisar | Pincode: 125121 | Latitude: 29.362856 | Longitude: 75.946324
City: Ambala | Pincode: 133001 | Latitude: 30.377589 | Longitude: 76.860565
City: Ambala | Pincode: 133004 | Latitude: 30.284638 | Longitude: 76.8375
City: Ambala | Pincode: 133005 | Latitude: 30.366075 | Longitude: 76.886509
City: Ambala | Pincode: 133006 | Latitude: 30.336979 | Longitude: 76.906683
City: Ambala | Pincode: 133101 | Latitude: 30.273662 | Longitude: 76.952784
City: Ambala | Pincode: 133102 | Latitude: 30.246336 | Longitude: 76.906683
City: Ambala | Pincode: 133103 | Latitude: 30.193461 | Longitude: 77.171523
City: Ambala | Pincode: 133104 | Latitude: 30.323633 | Longitude: 76.998867
City: Panchkula | Pincode: 134109 | Latitude: 30.703985 | Longitude: 76.900919
City: Panchkula | Pincode: 134112 | Latitude: 30.675329 | Longitude: 76.869213
City: Panchkula | Pincode: 134113 | Latitude: 30.678613 | Longitude: 76.84615
City: Panchkula | Pincode: 134114 | Latitude: 30.719322 | Longitude: 76.857682
City: Panchkula | Pincode: 134116 | Latitude: 30.647501 | Longitude: 76.900919
City: Panchkula | Pincode: 134117 | Latitude: 30.666645 | Longitude: 76.853358
City: Panchkula | Pincode: 134118 | Latitude: 30.543043 | Longitude: 76.929735
City: Hapur | Pincode: 245101 | Latitude: 28.697729 | Longitude: 77.768095
City: Hapur | Pincode: 245201 | Latitude: 28.706053 | Longitude: 77.859596
City: Hapur | Pincode: 245205 | Latitude: 28.814361 | Longitude: 78.042368
City: Hapur | Pincode: 245207 | Latitude: 28.772749 | Longitude: 77.962444
City: Hapur | Pincode: 245208 | Latitude: 28.684643 | Longitude: 78.133638
City: Hapur | Pincode: 245301 | Latitude: 28.63088 | Longitude: 77.665066
City: Hapur | Pincode: 245304 | Latitude: 28.731015 | Longitude: 77.630702
City: Kanpur | Pincode: 208001 | Latitude: 26.487067 | Longitude: 80.34916
City: Kanpur | Pincode: 208002 | Latitude: 26.501938 | Longitude: 80.310168
City: Kanpur | Pincode: 208003 | Latitude: 26.459456 | Longitude: 80.329666
City: Kanpur | Pincode: 208004 | Latitude: 26.44184 | Longitude: 80.371433
City: Kanpur | Pincode: 208005 | Latitude: 26.469243 | Longitude: 80.301811
City: Kanpur | Pincode: 208006 | Latitude: 26.448001 | Longitude: 80.311561
City: Kanpur | Pincode: 208007 | Latitude: 26.405174 | Longitude: 80.390916
City: Kanpur | Pincode: 208008 | Latitude: 26.369244 | Longitude: 80.421525
City: Kanpur | Pincode: 208009 | Latitude: 26.472036 | Longitude: 80.257222
City: Kanpur | Pincode: 208010 | Latitude: 26.429299 | Longitude: 80.402048
City: Kanpur | Pincode: 208011 | Latitude: 26.404519 | Longitude: 80.338021
City: Kanpur | Pincode: 208012 | Latitude: 26.464161 | Longitude: 80.312954
City: Kanpur | Pincode: 208013 | Latitude: 26.417714 | Longitude: 80.360297
City: Kanpur | Pincode: 208014 | Latitude: 26.437168 | Longitude: 80.320443
City: Kanpur | Pincode: 208015 | Latitude: 26.392735 | Longitude: 80.379783
City: Kanpur | Pincode: 208016 | Latitude: 26.511386 | Longitude: 80.23492
City: Kanpur | Pincode: 208017 | Latitude: 26.540913 | Longitude: 80.282306
City: Kanpur | Pincode: 208019 | Latitude: 26.477466 | Longitude: 80.272552
City: Kanpur | Pincode: 208020 | Latitude: 26.449106 | Longitude: 80.220977
City: Kanpur | Pincode: 208021 | Latitude: 26.390562 | Longitude: 80.304597
City: Kanpur | Pincode: 208022 | Latitude: 26.447467 | Longitude: 80.282306
City: Kanpur | Pincode: 208023 | Latitude: 26.44132 | Longitude: 80.342198
City: Kanpur | Pincode: 208024 | Latitude: 26.496543 | Longitude: 80.273946
City: Kanpur | Pincode: 208025 | Latitude: 26.478799 | Longitude: 80.292059
City: Kanpur | Pincode: 208026 | Latitude: 26.509015 | Longitude: 80.264191
